Semana,Almacen,Producto,Cantidad
2020-12-28,028,.,1.0
2021-01-04,028,.,4.0
2021-01-04,018,.,3.0
2021-01-04,028,.,11.0
2021-01-04,019,.,9.0
2021-01-04,007,.,2.0
2021-01-11,122,.,8.0
2021-01-11,023,.,10.0
2021-01-11,010,.,3.0
2021-01-11,010,.,20.0
2021-01-11,007,.,6.0
2021-01-11,028,.,1.0
2021-01-18,010,.,13.0
2021-01-18,018,.,7.0
2021-01-18,011,.,7.0
2021-01-18,018,.,10.0
2021-01-18,025,.,16.0
2021-01-25,025,.,10.0
2021-01-25,025,.,3.0
2021-01-25,028,.,3.0
2021-01-25,028,.,7.0
2021-01-25,025,.,10.0
2021-01-25,018,.,1.0
2021-01-25,010,.,5.0
2021-02-01,018,.,28.0
2021-02-01,025,.,10.0
2021-02-01,025,.,6.0
2021-02-01,015,.,9.0
2021-02-01,023,.,6.0
2021-02-01,ALM,.,1.0
2021-02-08,015,.,5.0
2021-02-08,025,.,9.0
2021-02-08,011,.,4.0
2021-02-08,025,.,2.0
2021-02-15,124,.,13.0
2021-02-15,025,.,2.0
2021-02-15,007,.,9.0
2021-02-15,025,.,9.0
2021-02-15,025,.,6.0
2021-02-15,025,.,2.0
2021-02-15,018,.,1.0
2021-02-22,011,.,16.0
2021-02-22,015,.,7.0
2021-02-22,015,.,14.0
2021-02-22,202,.,4.0
2021-02-22,023,.,11.0
2021-02-22,025,.,2.0
2021-02-22,015,.,1.0
2021-03-01,007,.,13.0
2021-03-01,202,.,14.0
2021-03-01,alm,.,8.0
2021-03-01,025,.,9.0
2021-03-01,011,.,6.0
2021-03-08,018,.,13.0
2021-03-08,010,.,3.0
2021-03-08,007,.,7.0
2021-03-08,010,.,8.0
2021-03-08,007,.,4.0
2021-03-15,025,.,12.0
2021-03-15,007,.,4.0
2021-03-22,025,.,1.0
2021-03-22,025,.,1.0
2021-03-22,010,.,1.0
2021-02-22,018,403FT,1.0
2021-01-18,ALM,A060644,3.0
2021-02-22,ALM,A060644,1.0
2021-03-08,019,A060644,1.0
2021-03-15,ALM,A060644,2.0
2021-04-26,032,A060644,1.0
2021-06-14,ALM,A060644,1.0
2021-09-13,ALM,A060644,2.0
2021-09-20,ALM,A060644,3.0
2021-09-27,032,A060644,1.0
2021-10-04,ALM,A060644,2.0
2021-01-11,ALM,A070132,3.0
2021-03-29,ALM,A070132,3.0
2021-05-10,ALM,A070132,1.0
2021-05-17,ALM,A070132,1.0
2021-01-25,ALM,A070138,1.0
2021-02-01,ALM,A070138,1.0
2021-04-12,ALM,A070138,2.0
2021-05-17,ALM,A070138,1.0
2021-05-24,ALM,A070138,6.0
2021-10-25,ALM,A070138,1.0
2021-11-29,ALM,A070138,20.0
2021-01-11,ALM,A070139,4.0
2021-06-14,ALM,A070139,1.0
2021-12-20,ALM,A100162,4.0
2021-11-15,ALM,A150719,300.0
2021-04-05,ALM,A150769,300.0
2021-11-15,ALM,A150861,300.0
