Almacén,Artíc. stockable,Cod. Artículo,Cod. Antiguo,Descrip. Producto,Stock unidades,Coste teórico Euros,P.U.C.,P.M.P.,Invent. PUC,Invent. PMP,Unids Pdte entrar,Unids Pdte salir,Disponible (St+pE-pS),Unnamed: 14
003,si,CA030008,E-33,PIROTECNIA: COHETE SEÑALES CON PARACAIDAS,"16,000000000","10,700000000","11,800000000","11,799568630","188,800000000","188,793098080","0,00000000","20,00000000","-4,000000000",
007,si,CA030008,E-33,PIROTECNIA: COHETE SEÑALES CON PARACAIDAS,"39,000000000","10,700000000","11,800000000","11,786171780","460,200000000","459,660699420","60,00000000","0,00000000","99,000000000",
010,si,CA030008,E-33,PIROTECNIA: COHETE SEÑALES CON PARACAIDAS,"56,000000000","10,700000000","11,800000000","11,523767670","660,800000000","645,330989520","65,00000000","0,00000000","121,000000000",
011,si,CA030008,E-33,PIROTECNIA: COHETE SEÑALES CON PARACAIDAS,"69,000000000","10,700000000","29,420000000","29,528877670","2029,980000000","2037,492559230","0,00000000","0,00000000","69,000000000",
015,si,CA030008,E-33,PIROTECNIA: COHETE SEÑALES CON PARACAIDAS,"-11,000000000","10,700000000","11,800000000","11,800000000","-129,800000000","-129,800000000","120,00000000","0,00000000","109,000000000",
018,si,CA030008,E-33,PIROTECNIA: COHETE SEÑALES CON PARACAIDAS,"48,000000000","10,700000000","11,800000000","11,799939520","566,400000000","566,397096960","0,00000000","52,00000000","-4,000000000",
019,si,CA030008,E-33,PIROTECNIA: COHETE SEÑALES CON PARACAIDAS,"44,000000000","10,700000000","11,800000000","11,512830690","519,200000000","506,564550360","0,00000000","0,00000000","44,000000000",
023,si,CA030008,E-33,PIROTECNIA: COHETE SEÑALES CON PARACAIDAS,"67,000000000","10,700000000","11,800000000","11,787465100","790,600000000","789,760161700","20,00000000","0,00000000","87,000000000",
025,si,CA030008,E-33,PIROTECNIA: COHETE SEÑALES CON PARACAIDAS,"66,000000000","10,700000000","11,800000000","11,797216380","778,800000000","778,616281080","72,00000000","0,00000000","138,000000000",
026,si,CA030008,E-33,PIROTECNIA: COHETE SEÑALES CON PARACAIDAS,"-95,000000000","10,700000000","10,700000000","10,700000000","-1016,500000000","-1016,500000000","0,00000000","0,00000000","-95,000000000",
028,si,CA030008,E-33,PIROTECNIA: COHETE SEÑALES CON PARACAIDAS,"208,000000000","10,700000000","11,800000000","11,297297400","2454,400000000","2349,837859200","40,00000000","30,00000000","218,000000000",
030,si,CA030008,E-33,PIROTECNIA: COHETE SEÑALES CON PARACAIDAS,"45,000000000","10,700000000","11,800000000","11,752885950","531,000000000","528,879867750","0,00000000","40,00000000","5,000000000",
032,si,CA030008,E-33,PIROTECNIA: COHETE SEÑALES CON PARACAIDAS,"23,000000000","10,700000000","11,800000000","11,768070180","271,400000000","270,665614140","90,00000000","0,00000000","113,000000000",
122,si,CA030008,E-33,PIROTECNIA: COHETE SEÑALES CON PARACAIDAS,"30,000000000","10,700000000","11,800000000","11,414035090","354,000000000","342,421052700","0,00000000","0,00000000","30,000000000",
123,si,CA030008,E-33,PIROTECNIA: COHETE SEÑALES CON PARACAIDAS,"-26,000000000","10,700000000","11,350000000","10,700000000","-295,100000000","-278,200000000","0,00000000","0,00000000","-26,000000000",
202,si,CA030008,E-33,PIROTECNIA: COHETE SEÑALES CON PARACAIDAS,"141,000000000","10,700000000","11,800000000","11,784422390","1663,800000000","1661,603556990","0,00000000","100,00000000","41,000000000",
223,si,CA030008,E-33,PIROTECNIA: COHETE SEÑALES CON PARACAIDAS,"-20,000000000","10,700000000","11,350000000","11,345000000","-227,000000000","-226,900000000","0,00000000","4,00000000","-24,000000000",
600,si,CA030008,E-33,PIROTECNIA: COHETE SEÑALES CON PARACAIDAS,"20,000000000","10,700000000","11,350000000","11,350000000","227,000000000","227,000000000","0,00000000","0,00000000","20,000000000",
ALM,si,CA030008,E-33,PIROTECNIA: COHETE SEÑALES CON PARACAIDAS,"314,000000000","10,700000000","11,800000000","11,798788420","3705,200000000","3704,819563880","276,00000000","751,00000000","-161,000000000",
003,si,CA030009,E-34,PIROTECNIA: BENGALA DE SEÑALES,"17,000000000","3,310000000","3,650000000","3,650000000","62,050000000","62,050000000","0,00000000","30,00000000","-13,000000000",
007,si,CA030009,E-34,PIROTECNIA: BENGALA DE SEÑALES,"33,000000000","3,310000000","3,650000000","3,650000000","120,450000000","120,450000000","90,00000000","0,00000000","123,000000000",
010,si,CA030009,E-34,PIROTECNIA: BENGALA DE SEÑALES,"84,000000000","3,310000000","3,650000000","3,566018590","306,600000000","299,545561560","75,00000000","0,00000000","159,000000000",
011,si,CA030009,E-34,PIROTECNIA: BENGALA DE SEÑALES,"23,000000000","3,310000000","9,000000000","8,203518380","207,000000000","188,680922740","0,00000000","0,00000000","23,000000000",
015,si,CA030009,E-34,PIROTECNIA: BENGALA DE SEÑALES,"-16,000000000","3,310000000","3,650000000","3,650000000","-58,400000000","-58,400000000","180,00000000","0,00000000","164,000000000",
018,si,CA030009,E-34,PIROTECNIA: BENGALA DE SEÑALES,"56,000000000","3,310000000","3,650000000","3,650000000","204,400000000","204,400000000","100,00000000","21,00000000","135,000000000",
019,si,CA030009,E-34,PIROTECNIA: BENGALA DE SEÑALES,"85,000000000","3,310000000","3,650000000","3,643276270","310,250000000","309,678482950","0,00000000","0,00000000","85,000000000",
023,si,CA030009,E-34,PIROTECNIA: BENGALA DE SEÑALES,"135,000000000","3,310000000","3,650000000","3,702247320","492,750000000","499,803388200","30,00000000","0,00000000","165,000000000",
025,si,CA030009,E-34,PIROTECNIA: BENGALA DE SEÑALES,"64,000000000","3,310000000","3,650000000","3,650000000","233,600000000","233,600000000","156,00000000","0,00000000","220,000000000",
026,si,CA030009,E-34,PIROTECNIA: BENGALA DE SEÑALES,"-142,000000000","3,310000000","3,310000000","3,890000000","-470,020000000","-552,380000000","0,00000000","0,00000000","-142,000000000",
028,si,CA030009,E-34,PIROTECNIA: BENGALA DE SEÑALES,"294,000000000","3,310000000","3,650000000","3,502521470","1073,100000000","1029,741312180","60,00000000","30,00000000","324,000000000",
030,si,CA030009,E-34,PIROTECNIA: BENGALA DE SEÑALES,"79,000000000","3,310000000","3,650000000","3,659612090","288,350000000","289,109355110","0,00000000","60,00000000","19,000000000",
032,si,CA030009,E-34,PIROTECNIA: BENGALA DE SEÑALES,"25,000000000","3,310000000","3,650000000","3,678235290","91,250000000","91,955882250","60,00000000","0,00000000","85,000000000",
122,si,CA030009,E-34,PIROTECNIA: BENGALA DE SEÑALES,"31,000000000","3,310000000","3,650000000","3,609813950","113,150000000","111,904232450","0,00000000","0,00000000","31,000000000",
123,si,CA030009,E-34,PIROTECNIA: BENGALA DE SEÑALES,"-40,000000000","3,310000000","3,510000000","3,510000000","-140,400000000","-140,400000000","0,00000000","0,00000000","-40,000000000",
202,si,CA030009,E-34,PIROTECNIA: BENGALA DE SEÑALES,"161,000000000","3,310000000","3,650000000","3,651658780","587,650000000","587,917063580","0,00000000","120,00000000","41,000000000",
