Producto,"Producto, nombre",Subfamilia,Nº productos,Nº Documentos,Nº items (líneas),Cantidad,Cant. confirmada,Importe bruto (euro),Importe dto. (euro),% Dto. Efectivo,Importe (euro),Unnamed: 12
A060644,RECAMBIO UML PRO SENSOR ELITE 2+,MATC,1,1,1,"15,000000000","15,000000000","72,600000000000000000","0,000000000000000000","0,000","72,60",
A100162,HAMMAR DUAL ASSEMBLY FOR REMOTE SYSTEM (VACUUM),HAMM,1,1,15,"15,000000000","15,000000000","1484,100000000000000000","0,000000000000000000","0,000","1484,10",
A160427,MASILLA DE SELLADO,MATB,1,1,1,"1,000000000","1,000000000","1,542857000000000000","0,002857000000000000","0,185","1,54",
A190061,BOTELLA CO2 14L,EXTI,1,1,1,"2,000000000","0,000000000","164,180000000000000000","0,000000000000000000","0,000","164,18",
A270691,FIRE PRO 2000 AEROSOL CONDENSADO,MASF,1,1,1,"1,000000000","0,000000000","819,920000000000000000","0,000000000000000000","0,000","819,92",
A270697,FIRE PRO 1200 AEROSOL CONDENSADO,MASF,1,1,1,"2,000000000","0,000000000","1415,820000000000000000","0,000000000000000000","0,000","1415,82",
B011730,A-,VARI,1,24,33,"180,000000000","166,000000000","7667,540000000000000000","1175,710000000000000000","15,334","6491,83",
B011731,A-,VARI,1,2,2,"4,000000000","1,000000000","696,000000000000000000","222,720000000000000000","32,000","473,28",
BALND004C,BALSA DUARRY 4 PL. ISO DYNAMIC CONT. NO OPERATIVA,BISO,1,1,1,"20,000000000","0,000000000","5000,000000000000000000","0,000000000000000000","0,000","5000,00",
BALND004S,BALSA DUARRY 4 PL. ISO DYNAMIC SACO NO OPERATIVA,BISO,1,1,1,"20,000000000","0,000000000","5000,000000000000000000","0,000000000000000000","0,000","5000,00",
BALND006C,BALSA DUARRY 6 PL. ISO DYNAMIC CONT.NO OPERATIVA,BISO,1,1,1,"30,000000000","0,000000000","9000,000000000000000000","0,000000000000000000","0,000","9000,00",
BALND006S,BALSA DUARRY 6 PL. ISO DYNAMIC SACO NO OPERATIVA,BISO,1,1,1,"40,000000000","0,000000000","12000,000000000000000000","0,000000000000000000","0,000","12000,00",
BALND008C,BALSA DUARRY 8 PL. ISO DYNAMIC CONT.NO OPERATIVA,BISO,1,1,1,"19,000000000","0,000000000","7125,000000000000000000","0,000000000000000000","0,000","7125,00",
BALND008S,BALSA DUARRY 8 PL. ISO DYNAMIC SACO NO OPERATIVA,BISO,1,1,1,"20,000000000","0,000000000","7500,000000000000000000","0,000000000000000000","0,000","7500,00",
BALND012C,BALSA DUARRY 12 PL. ISO DYNAMIC CONT NO OPERATIVA,BISO,1,1,1,"4,000000000","0,000000000","1880,000000000000000000","0,000000000000000000","0,000","1880,00",
BOSTIK COLA,BOSTIK COLA PARA NEOPRENO 2402 1L + CATALIZADOR,MATB,1,1,1,"1,000000000","1,000000000","40,795000000000000000","-0,005000000000000000","-0,011","40,80",
CA010003,BOTELLA(BOLSA)DE AGUA DE 1/2 L,AGUA,1,6,6,"5060,000000000","3710,000000000","3184,898200000000000000","-0,001800000000000000","0,000","3184,90",
CA020006,RACION ALIMENTOS 500 GRS SEVEN OCEANS,ALIM,1,5,5,"1514,000000000","1164,000000000","2953,629744000000000000","-0,000256000000000000","0,000","2953,63",
CA030008,PIROTECNIA: COHETE SEÑALES CON PARACAIDAS,PIRO,1,29,30,"1022,000000000","735,000000000","12688,340000000000000000","132,220000000000000000","1,042","12556,12",
CA030009,PIROTECNIA: BENGALA DE SEÑALES,PIRO,1,33,38,"1572,000000000","1097,000000000","6187,720000000000000000","69,900000000000000000","1,130","6117,82",
CA030010,PIROTECNIA: SEÑAL FUMIFERA FLOTANTE,PIRO,1,27,29,"400,000000000","303,000000000","5760,480000000000000000","103,920000000000000000","1,804","5656,56",
CA040013,APARATO LANZACABOS CUERPO COMPLETO,PIRO,1,1,1,"4,000000000","4,000000000","719,200000000000000000","0,000000000000000000","0,000","719,20",
CA040020,MAN OVERBOARD MK9,PIRO,1,1,1,"2,000000000","2,000000000","771,760000000000000000","0,000000000000000000","0,000","771,76",
CA050031,CHALECO INFLABLE MARINE 150N AUTO+ARNES,CHAL,1,1,1,"5,000000000","5,000000000","787,700000000000000000","275,690000000000000000","34,999","512,01",
CA050032,TRAJE SUPERVIV.ATLANTICO-2 SOLAS 2010 XL,CHAL,1,1,1,"2,000000000","2,000000000","352,340000000000000000","52,850000000000000000","15,000","299,49",
CA050035,CHALECO CAP CORSE-1 SOLAS ADULTO,CHAL,1,1,1,"10,000000000","10,000000000","168,700000000000000000","0,000000000000000000","0,000","168,70",
CA050040,CHALECO MAREA ISO 150N MANUAL+ARNES,CHAL,1,1,1,"10,000000000","10,000000000","1575,400000000000000000","551,390000000000000000","35,000","1024,01",
CA050047,CHALECO ATLANTIC 275 N AUTO + A,CHAL,1,2,2,"8,000000000","8,000000000","1280,960000000000000000","448,340000000000000000","35,000","832,62",
CA060060,H-BOTELLA CO2 33 GR. 150N,MATC,1,1,1,"15,000000000","15,000000000","283,500000000000000000","127,570000000000000000","44,998","155,93",
CA060062,H-BOTELLA CO2 60 GR.,MATC,1,1,1,"10,000000000","10,000000000","75,400000000000000000","0,000000000000000000","0,000","75,40",
CA060068,H-PASTILLA DISPARADOR AUTO-HINCHABLE,MATC,1,2,2,"112,000000000","112,000000000","1065,700000000000000000","295,120000000000000000","27,693","770,58",
CA060069,H-RECAMBIO CAPSULA UML MKS,MATC,1,1,1,"15,000000000","15,000000000","72,600000000000000000","0,000000000000000000","0,000","72,60",
